	rPB66v1	rPB66v2	rO66v1	rO66v2	23S	rT66v1	rT66v2	rT66v2-10	EGFP	rO44v1	M13	rT55	rsc1218v1n660	rT77	rsc1218v1n924
rPB66v1	1.0	0.9945578766066474	0.9972373651247006	0.9928877743110986	0.9971852752195255	0.9954658467768661	0.9961938464137606	0.9974828618887644	0.9962066271481478	0.9950789855378884	0.9965906821293186	0.9968652388889991	0.9943387371843581	0.9969592372540259	0.9957747436169723
rPB66v2	0.9945578766066474	1.0	0.9942259573600885	0.9917973983440848	0.9953426567030688	0.9937792826344942	0.994773188900654	0.996722501093586	0.9946069206278201	0.9943151152049381	0.9949543572006467	0.9952826227914103	0.9940757128914174	0.9953346696035698	0.9932910919282889
rO66v1	0.9972373651247006	0.9942259573600885	1.0	0.9942242653150142	0.9967421627442057	0.9959327853974459	0.9968216159478939	0.9974575981571566	0.9958662709141868	0.9958522847864079	0.9966507550855956	0.9974149161979867	0.9945778288520077	0.996935012689045	0.9952123328283629
rO66v2	0.9928877743110986	0.9917973983440848	0.9942242653150142	1.0	0.9949708256415184	0.9952198182510433	0.9950243302037832	0.9950972976319158	0.9950251315114454	0.9921176956297673	0.9953180213880698	0.9950936823219783	0.9928407043086382	0.9945033017084687	0.9922758546369537
23S	0.9971852752195255	0.9953426567030688	0.9967421627442057	0.9949708256415184	1.0	0.996245491648376	0.9971787447289218	0.9980374577597045	0.9973226067298913	0.9962384101157051	0.997299037275953	0.9979535361367241	0.994666554417544	0.9975542397571489	0.9970962289125938
rT66v1	0.9954658467768661	0.9937792826344942	0.9959327853974459	0.9952198182510433	0.996245491648376	1.0	0.9984787111656022	0.9981146141543025	0.9986406326094989	0.9973877009366092	0.9985009150794112	0.9977858022220434	0.9970054855497924	0.9978030436160855	0.9944150482073119
rT66v2	0.9961938464137606	0.994773188900654	0.9968216159478939	0.9950243302037832	0.9971787447289218	0.9984787111656022	1.0	0.9986436822710701	0.9984713043105877	0.99765399534052	0.9979913987747193	0.9986386455565665	0.9966337805408683	0.9979231429205994	0.9958213634718226
rT66v2-10	0.9974828618887644	0.996722501093586	0.9974575981571566	0.9950972976319158	0.9980374577597045	0.9981146141543025	0.9986436822710701	1.0	0.9982783547667788	0.9978019607035171	0.9986460608563361	0.9991337554339293	0.9968292231452068	0.998863119329346	0.9969706112967067
EGFP	0.9962066271481478	0.9946069206278201	0.9958662709141868	0.9950251315114454	0.9973226067298913	0.9986406326094989	0.9984713043105877	0.9982783547667788	1.0	0.9974244123824646	0.9987302946633468	0.9979451706058489	0.997202740811933	0.9980975845280716	0.9953248868688325
rO44v1	0.9950789855378884	0.9943151152049381	0.9958522847864079	0.9921176956297673	0.9962384101157051	0.9973877009366092	0.99765399534052	0.9978019607035171	0.9974244123824646	1.0	0.9974383690459719	0.9976312011213513	0.9973796684856441	0.9981215510387521	0.9963074193336823
M13	0.9965906821293186	0.9949543572006467	0.9966507550855956	0.9953180213880698	0.997299037275953	0.9985009150794112	0.9979913987747193	0.9986460608563361	0.9987302946633468	0.9974383690459719	1.0	0.9982780446006982	0.9972364925337226	0.9981797523154539	0.9952927388060411
rT55	0.9968652388889991	0.9952826227914103	0.9974149161979867	0.9950936823219783	0.9979535361367241	0.9977858022220434	0.9986386455565665	0.9991337554339293	0.9979451706058489	0.9976312011213513	0.9982780446006982	1.0	0.9968952662527167	0.9984503078345108	0.9969325901713688
rsc1218v1n660	0.9943387371843581	0.9940757128914174	0.9945778288520077	0.9928407043086382	0.994666554417544	0.9970054855497924	0.9966337805408683	0.9968292231452068	0.997202740811933	0.9973796684856441	0.9972364925337226	0.9968952662527167	1.0	0.9968005966096204	0.9942881607366334
rT77	0.9969592372540259	0.9953346696035698	0.996935012689045	0.9945033017084687	0.9975542397571489	0.9978030436160855	0.9979231429205994	0.998863119329346	0.9980975845280716	0.9981215510387521	0.9981797523154539	0.9984503078345108	0.9968005966096204	1.0	0.9969199035046765
rsc1218v1n924	0.9957747436169723	0.9932910919282889	0.9952123328283629	0.9922758546369537	0.9970962289125938	0.9944150482073119	0.9958213634718226	0.9969706112967067	0.9953248868688325	0.9963074193336823	0.9952927388060411	0.9969325901713688	0.9942881607366334	0.9969199035046765	1.0
