	('scafDX', '5')	('scafDX', '3')	('stapDX', '5')	('stapDX', '3')	('stapSX', '5')	('stapSX', '3')	('stapEND', '5')	('stapEND', '3')	('stapSXEND', '5')	('stapSXEND', '3')	('vertex', '5')	('vertex', '3')
('scafDX', '5')		0.4346974105483976	0.542875899522475	0.19895603643915782	-0.00996965803330696	-0.4533618818964899	0.13771215958958138	-0.08057766448338172	-0.0905957600147636	-0.07043884957494223	-0.07567033036247067	-0.036761095342822014
('scafDX', '3')	-0.4346974105483976		0.10817848897407734	-0.2357413741092398	-0.44466706858170457	-0.8880592924448875	-0.2969852509588162	-0.5152750750317793	-0.5252931705631612	-0.5051362601233398	-0.5103677409108682	-0.4714585058912196
('stapDX', '5')	-0.542875899522475	-0.10817848897407734		-0.3439198630833171	-0.5528455575557819	-0.9962377814189649	-0.40516373993289356	-0.6234535640058567	-0.6334716595372385	-0.6133147490974171	-0.6185462298849456	-0.579636994865297
('stapDX', '3')	-0.19895603643915782	0.2357413741092398	0.3439198630833171		-0.20892569447246478	-0.6523179183356478	-0.06124387684957644	-0.27953370092253954	-0.28955179645392143	-0.26939488601410005	-0.2746263668016285	-0.23571713178197984
('stapSX', '5')	0.00996965803330696	0.44466706858170457	0.5528455575557819	0.20892569447246478		-0.44339222386318294	0.14768181762288835	-0.07060800645007476	-0.08062610198145664	-0.06046919154163527	-0.06570067232916371	-0.026791437309515054
('stapSX', '3')	0.4533618818964899	0.8880592924448875	0.9962377814189649	0.6523179183356478	0.44339222386318294		0.5910740414860713	0.3727842174131082	0.3627661218817263	0.3829230323215477	0.37769155153401923	0.4166007865536679
('stapEND', '5')	-0.13771215958958138	0.2969852509588162	0.40516373993289356	0.06124387684957644	-0.14768181762288835	-0.5910740414860713		-0.2182898240729631	-0.228307919604345	-0.20815100916452361	-0.21338248995205206	-0.1744732549324034
('stapEND', '3')	0.08057766448338172	0.5152750750317793	0.6234535640058567	0.27953370092253954	0.07060800645007476	-0.3727842174131082	0.2182898240729631		-0.010018095531381888	0.010138814908439486	0.004907334120911044	0.0438165691405597
('stapSXEND', '5')	0.0905957600147636	0.5252931705631612	0.6334716595372385	0.28955179645392143	0.08062610198145664	-0.3627661218817263	0.228307919604345	0.010018095531381888		0.020156910439821374	0.014925429652292932	0.05383466467194159
('stapSXEND', '3')	0.07043884957494223	0.5051362601233398	0.6133147490974171	0.26939488601410005	0.06046919154163527	-0.3829230323215477	0.20815100916452361	-0.010138814908439486	-0.020156910439821374		-0.005231480787528442	0.033677754232120216
('vertex', '5')	0.07567033036247067	0.5103677409108682	0.6185462298849456	0.2746263668016285	0.06570067232916371	-0.37769155153401923	0.21338248995205206	-0.004907334120911044	-0.014925429652292932	0.005231480787528442		0.03890923501964866
('vertex', '3')	0.036761095342822014	0.4714585058912196	0.579636994865297	0.23571713178197984	0.026791437309515054	-0.4166007865536679	0.1744732549324034	-0.0438165691405597	-0.05383466467194159	-0.033677754232120216	-0.03890923501964866	
