	('scafDX', '5')	('scafDX', '3')	('stapDX', '5')	('stapDX', '3')	('stapSX', '5')	('stapSX', '3')	('stapEND', '5')	('stapEND', '3')	('stapSXEND', '5')	('stapSXEND', '3')	('vertex', '5')	('vertex', '3')
('scafDX', '5')		0.42429749327805905	0.2343788905035643	0.21081122100666141	0.1291637068956084	0.0034353825984337893	-0.26516686890429125	0.037136176448819586	-0.0008182978799721741	0.09228826984211314	-0.25373769477820224	-0.21776916729911922
('scafDX', '3')	-0.42429749327805905		-0.18991860277449474	-0.21348627227139763	-0.29513378638245064	-0.42086211067962526	-0.6894643621823503	-0.3871613168292395	-0.4251157911580312	-0.3320092234359459	-0.6780351880562613	-0.6420666605771783
('stapDX', '5')	-0.2343788905035643	0.18991860277449474		-0.0235676694969029	-0.1052151836079559	-0.23094350790513052	-0.49954575940785556	-0.19724271405474472	-0.23519718838353648	-0.14209062066145117	-0.48811658528176655	-0.4521480578026835
('stapDX', '3')	-0.21081122100666141	0.21348627227139763	0.0235676694969029		-0.081647514111053	-0.20737583840822763	-0.4759780899109527	-0.17367504455784183	-0.2116295188866336	-0.11852295116454828	-0.4645489157848637	-0.4285803883057806
('stapSX', '5')	-0.1291637068956084	0.29513378638245064	0.1052151836079559	0.081647514111053		-0.12572832429717462	-0.39433057579989966	-0.09202753044678882	-0.12998200477558058	-0.036875437053495275	-0.38290140167381065	-0.3469328741947276
('stapSX', '3')	-0.0034353825984337893	0.42086211067962526	0.23094350790513052	0.20737583840822763	0.12572832429717462		-0.26860225150272504	0.033700793850385796	-0.004253680478405963	0.08885288724367935	-0.25717307737663603	-0.221204549897553
('stapEND', '5')	0.26516686890429125	0.6894643621823503	0.49954575940785556	0.4759780899109527	0.39433057579989966	0.26860225150272504		0.3023030453531108	0.2643485710243191	0.3574551387464044	0.011429174126089015	0.04739770160517204
('stapEND', '3')	-0.037136176448819586	0.3871613168292395	0.19724271405474472	0.17367504455784183	0.09202753044678882	-0.033700793850385796	-0.3023030453531108		-0.03795447432879176	0.05515209339329355	-0.2908738712270218	-0.25490534374793883
('stapSXEND', '5')	0.0008182978799721741	0.4251157911580312	0.23519718838353648	0.2116295188866336	0.12998200477558058	0.004253680478405963	-0.2643485710243191	0.03795447432879176		0.09310656772208531	-0.25291939689823006	-0.21695086941914704
('stapSXEND', '3')	-0.09228826984211314	0.3320092234359459	0.14209062066145117	0.11852295116454828	0.036875437053495275	-0.08885288724367935	-0.3574551387464044	-0.05515209339329355	-0.09310656772208531		-0.3460259646203154	-0.31005743714123235
('vertex', '5')	0.25373769477820224	0.6780351880562613	0.48811658528176655	0.4645489157848637	0.38290140167381065	0.25717307737663603	-0.011429174126089015	0.2908738712270218	0.25291939689823006	0.3460259646203154		0.03596852747908302
('vertex', '3')	0.21776916729911922	0.6420666605771783	0.4521480578026835	0.4285803883057806	0.3469328741947276	0.221204549897553	-0.04739770160517204	0.25490534374793883	0.21695086941914704	0.31005743714123235	-0.03596852747908302	
