	('scafDX', '5')	('scafDX', '3')	('stapDX', '5')	('stapDX', '3')	('stapSX', '5')	('stapSX', '3')	('stapEND', '5')	('stapEND', '3')	('stapSXEND', '5')	('stapSXEND', '3')	('vertex', '5')	('vertex', '3')
('scafDX', '5')		0.325398581554581	0.268456708084992	0.13308232410284748	0.030009780802023545	-0.48552468688777695	-0.0702067429996247	-0.14003321884629727	-0.04894325699031321	-0.16299662759136058	-0.181266684195171	-0.11429175916022333
('scafDX', '3')	-0.325398581554581		-0.056941873469589024	-0.1923162574517335	-0.29538880075255747	-0.810923268442358	-0.3956053245542057	-0.4654318004008783	-0.3743418385448942	-0.4883952091459416	-0.506665265749752	-0.43969034071480434
('stapDX', '5')	-0.268456708084992	0.056941873469589024		-0.1353743839821445	-0.23844692728296843	-0.753981394972769	-0.3386634510846167	-0.40848992693128927	-0.3173999650753052	-0.4314533356763526	-0.449723392280163	-0.38274846724521533
('stapDX', '3')	-0.13308232410284748	0.1923162574517335	0.1353743839821445		-0.10307254330082395	-0.6186070109906244	-0.2032890671024722	-0.27311554294914475	-0.1820255810931607	-0.29607895169420806	-0.3143490082980185	-0.2473740832630708
('stapSX', '5')	-0.030009780802023545	0.29538880075255747	0.23844692728296843	0.10307254330082395		-0.5155344676898005	-0.10021652380164825	-0.17004299964832081	-0.07895303779233676	-0.19300640839338412	-0.21127646499719455	-0.14430153996224687
('stapSX', '3')	0.48552468688777695	0.810923268442358	0.753981394972769	0.6186070109906244	0.5155344676898005		0.41531794388815224	0.3454914680414797	0.43658142989746374	0.32252805929641637	0.30425800269260594	0.3712329277275536
('stapEND', '5')	0.0702067429996247	0.3956053245542057	0.3386634510846167	0.2032890671024722	0.10021652380164825	-0.41531794388815224		-0.06982647584667256	0.021263486009311494	-0.09278988459173587	-0.1110599411955463	-0.04408501616059862
('stapEND', '3')	0.14003321884629727	0.4654318004008783	0.40848992693128927	0.27311554294914475	0.17004299964832081	-0.3454914680414797	0.06982647584667256		0.09108996185598406	-0.022963408745063307	-0.04123346534887373	0.025741459686073942
('stapSXEND', '5')	0.04894325699031321	0.3743418385448942	0.3173999650753052	0.1820255810931607	0.07895303779233676	-0.43658142989746374	-0.021263486009311494	-0.09108996185598406		-0.11405337060104737	-0.1323234272048578	-0.06534850216991012
('stapSXEND', '3')	0.16299662759136058	0.4883952091459416	0.4314533356763526	0.29607895169420806	0.19300640839338412	-0.32252805929641637	0.09278988459173587	0.022963408745063307	0.11405337060104737		-0.018270056603810425	0.04870486843113725
('vertex', '5')	0.181266684195171	0.506665265749752	0.449723392280163	0.3143490082980185	0.21127646499719455	-0.30425800269260594	0.1110599411955463	0.04123346534887373	0.1323234272048578	0.018270056603810425		0.06697492503494767
('vertex', '3')	0.11429175916022333	0.43969034071480434	0.38274846724521533	0.2473740832630708	0.14430153996224687	-0.3712329277275536	0.04408501616059862	-0.025741459686073942	0.06534850216991012	-0.04870486843113725	-0.06697492503494767	
