	('scafDX', '5')	('scafDX', '3')	('stapDX', '5')	('stapDX', '3')	('stapSX', '5')	('stapSX', '3')	('stapEND', '5')	('stapEND', '3')	('stapSXEND', '5')	('stapSXEND', '3')	('vertex', '5')	('vertex', '3')
('scafDX', '5')		0.005535822276595939	0.00039319866027511674	0.051705932771859656	0.48314662775019224	0.00840931722996301	0.06906278739677188	0.35517328449778335	0.2018049808831361	0.339084677137049	0.3470128116148668	0.4456131393672177
('scafDX', '3')	0.005535822276595939		0.10821759453155982	0.024501534622368853	0.0007821646759848138	1.7329503307440175e-05	0.000545222604436435	4.970236983477949e-05	2.584066772708404e-05	0.00010757673332437264	0.00017531868780693214	0.0003417266390903958
('stapDX', '5')	0.00039319866027511674	0.10821759453155982		3.067015344656713e-05	5.455133777103547e-06	5.959259374506139e-09	1.1355220102454304e-07	3.3446715845578713e-09	2.0195630487530018e-08	3.3176654602508335e-08	4.379834107842632e-08	2.3210013071144092e-08
('stapDX', '3')	0.051705932771859656	0.024501534622368853	3.067015344656713e-05		0.020560676819986287	7.925986230428136e-07	0.24281068688985047	0.0014734716985111266	0.0005815847414520669	0.002322059690615797	0.002725872758483761	0.006783291279557373
('stapSX', '5')	0.48314662775019224	0.0007821646759848138	5.455133777103547e-06	0.020560676819986287		0.0021349439482391858	0.02979363414066249	0.34717723651522747	0.2358950681666513	0.2603516618990501	0.28383018652470526	0.4547952827241164
('stapSX', '3')	0.00840931722996301	1.7329503307440175e-05	5.959259374506139e-09	7.925986230428136e-07	0.0021349439482391858		1.7842139866969026e-06	0.0016202408621493593	0.003043936027799334	0.002392193629507379	0.003753642540586185	0.0008481103724842993
('stapEND', '5')	0.06906278739677188	0.000545222604436435	1.1355220102454304e-07	0.24281068688985047	0.02979363414066249	1.7842139866969026e-06		0.0030094375415669603	0.0002625842492046439	0.004074999358188167	0.007752725858316913	0.033322305462215845
('stapEND', '3')	0.35517328449778335	4.970236983477949e-05	3.3446715845578713e-09	0.0014734716985111266	0.34717723651522747	0.0016202408621493593	0.0030094375415669603		0.3737649261495954	0.46363223676261606	0.471925897520363	0.32164383959841625
('stapSXEND', '5')	0.2018049808831361	2.584066772708404e-05	2.0195630487530018e-08	0.0005815847414520669	0.2358950681666513	0.003043936027799334	0.0002625842492046439	0.3737649261495954		0.3933479327819829	0.4931179331772922	0.22312116757407252
('stapSXEND', '3')	0.339084677137049	0.00010757673332437264	3.3176654602508335e-08	0.002322059690615797	0.2603516618990501	0.002392193629507379	0.004074999358188167	0.46363223676261606	0.3933479327819829		0.43612783725950643	0.30364829277782046
('vertex', '5')	0.3470128116148668	0.00017531868780693214	4.379834107842632e-08	0.002725872758483761	0.28383018652470526	0.003753642540586185	0.007752725858316913	0.471925897520363	0.4931179331772922	0.43612783725950643		0.3698136172939105
('vertex', '3')	0.4456131393672177	0.0003417266390903958	2.3210013071144092e-08	0.006783291279557373	0.4547952827241164	0.0008481103724842993	0.033322305462215845	0.32164383959841625	0.22312116757407252	0.30364829277782046	0.3698136172939105	
