	('scafDX', '5')	('scafDX', '3')	('stapDX', '5')	('stapDX', '3')	('stapSX', '5')	('stapSX', '3')	('stapEND', '5')	('stapEND', '3')	('stapSXEND', '5')	('stapSXEND', '3')	('vertex', '5')	('vertex', '3')
('scafDX', '5')		0.0025735809165278057	0.014934320537351765	0.026296527302629803	0.11724130354659246	0.4418087296906842	0.046451643548447524	0.22093028026493916	0.3464508828389071	0.10403122310472529	0.011265804505367343	0.016894419691834778
('scafDX', '3')	0.0025735809165278057		0.07599940320088674	0.0403826648016666	0.13362874657719392	0.004852942646513892	0.001535147393365034	0.007368900088159557	0.0014731713739098756	0.014054020073575896	0.00024632497290949154	0.00011110763630225416
('stapDX', '5')	0.014934320537351765	0.07599940320088674		0.3237570239586305	0.33532286507451037	0.0202066694558777	0.0002980843911832558	0.04162622104108808	0.002764709815710929	0.15026115574773602	4.199105657607953e-06	3.790266451405068e-06
('stapDX', '3')	0.026296527302629803	0.0403826648016666	0.3237570239586305		0.5	0.03117063635395608	0.00032185357004379313	0.0894357060311245	0.006663569461502686	0.27475739120471054	5.348519128165366e-06	2.5531695515689746e-06
('stapSX', '5')	0.11724130354659246	0.13362874657719392	0.33532286507451037	0.5		0.11326638157992036	0.009403550831418325	0.14132260075816616	0.09052754266056079	0.16820841679413756	0.003729954205488981	0.0033876402526113324
('stapSX', '3')	0.4418087296906842	0.004852942646513892	0.0202066694558777	0.03117063635395608	0.11326638157992036		0.05695095993546101	0.20698657970421697	0.3463163920209801	0.07023252407917747	0.014954105476550591	0.03259162277809841
('stapEND', '5')	0.046451643548447524	0.001535147393365034	0.0002980843911832558	0.00032185357004379313	0.009403550831418325	0.05695095993546101		0.017224641667316822	0.04276273196203271	0.010667422143074938	0.365418685602426	0.34785391210524463
('stapEND', '3')	0.22093028026493916	0.007368900088159557	0.04162622104108808	0.0894357060311245	0.14132260075816616	0.20698657970421697	0.017224641667316822		0.11757418918846119	0.32708044671832426	0.0032609240873565214	0.0017139391270917762
('stapSXEND', '5')	0.3464508828389071	0.0014731713739098756	0.002764709815710929	0.006663569461502686	0.09052754266056079	0.3463163920209801	0.04276273196203271	0.11757418918846119		0.03450840900146669	0.007104241235266467	0.02474359221337623
('stapSXEND', '3')	0.10403122310472529	0.014054020073575896	0.15026115574773602	0.27475739120471054	0.16820841679413756	0.07023252407917747	0.010667422143074938	0.32708044671832426	0.03450840900146669		0.0025460601608870287	0.0007928256516794494
('vertex', '5')	0.011265804505367343	0.00024632497290949154	4.199105657607953e-06	5.348519128165366e-06	0.003729954205488981	0.014954105476550591	0.365418685602426	0.0032609240873565214	0.007104241235266467	0.0025460601608870287		0.3057980815206564
('vertex', '3')	0.016894419691834778	0.00011110763630225416	3.790266451405068e-06	2.5531695515689746e-06	0.0033876402526113324	0.03259162277809841	0.34785391210524463	0.0017139391270917762	0.02474359221337623	0.0007928256516794494	0.3057980815206564	
