	('scafDX', '5')	('scafDX', '3')	('stapDX', '5')	('stapDX', '3')	('stapSX', '5')	('stapSX', '3')	('stapEND', '5')	('stapEND', '3')	('stapSXEND', '5')	('stapSXEND', '3')	('vertex', '5')	('vertex', '3')
('scafDX', '5')		0.06772378544274768	0.08513767529923699	0.2827107483975356	0.4883062366842799	0.005263772869709455	0.14294126876102176	0.1275867327573254	0.270155188166207	0.15821257057201338	0.05032698927138804	0.10230311271280673
('scafDX', '3')	0.06772378544274768		0.19817895254643508	0.029608311236809876	0.008883975467817034	3.24327392543942e-06	5.309075985049216e-06	4.56003801590048e-05	0.0009812807546573815	0.00043681752839586893	3.046794968310382e-06	2.5223898562459943e-06
('stapDX', '5')	0.08513767529923699	0.19817895254643508		0.04403257880408504	0.012111503088109165	8.837413391130785e-07	3.761146795613478e-05	3.875810253706479e-05	0.0013492715038981489	0.000316999055862369	5.256332700782717e-06	4.41183315681176e-06
('stapDX', '3')	0.2827107483975356	0.029608311236809876	0.04403257880408504		0.22545597452298177	2.1331664555510586e-05	0.01267968657648925	0.005638407248867352	0.03560789479244757	0.009773431379567963	0.0012405790216355901	0.0032953325985900284
('stapSX', '5')	0.4883062366842799	0.008883975467817034	0.012111503088109165	0.22545597452298177		0.0011795951988645735	0.16132296670864138	0.09463875723644011	0.27859646594202037	0.09205616747414469	0.051910415646150204	0.08200039906636608
('stapSX', '3')	0.005263772869709455	3.24327392543942e-06	8.837413391130785e-07	2.1331664555510586e-05	0.0011795951988645735		0.00273300303861618	0.011802249564465725	0.0025060776889177907	0.01850004539026023	0.015806028520939083	0.003274634126196336
('stapEND', '5')	0.14294126876102176	5.309075985049216e-06	3.761146795613478e-05	0.01267968657648925	0.16132296670864138	0.00273300303861618		0.39937593602433785	0.44805205726819836	0.1757016259625494	0.2211142561768385	0.35655814792656393
('stapEND', '3')	0.1275867327573254	4.56003801590048e-05	3.875810253706479e-05	0.005638407248867352	0.09463875723644011	0.011802249564465725	0.39937593602433785		0.4030351962079073	0.4269509694999021	0.2674638756663458	0.45507456041372935
('stapSXEND', '5')	0.270155188166207	0.0009812807546573815	0.0013492715038981489	0.03560789479244757	0.27859646594202037	0.0025060776889177907	0.44805205726819836	0.4030351962079073		0.17723602093883106	0.16332412529579193	0.3196626441713921
('stapSXEND', '3')	0.15821257057201338	0.00043681752839586893	0.000316999055862369	0.009773431379567963	0.09205616747414469	0.01850004539026023	0.1757016259625494	0.4269509694999021	0.17723602093883106		0.48371091711921116	0.26154243286129275
('vertex', '5')	0.05032698927138804	3.046794968310382e-06	5.256332700782717e-06	0.0012405790216355901	0.051910415646150204	0.015806028520939083	0.2211142561768385	0.2674638756663458	0.16332412529579193	0.48371091711921116		0.261811105241876
('vertex', '3')	0.10230311271280673	2.5223898562459943e-06	4.41183315681176e-06	0.0032953325985900284	0.08200039906636608	0.003274634126196336	0.35655814792656393	0.45507456041372935	0.3196626441713921	0.26154243286129275	0.261811105241876	
