	Seg5	Seg3	Feature5	Feature3	Origami	Length	DMS5M	DMS3M	DMS5aM	DMS3aM	DMSallM	DMSintM	DMS5A	DMS3A	DMS5aA	DMS3aA	DMSallA	DMSintA	DMS5C	DMS3C	DMS5aC	DMS3aC	DMSallC	DMSintC	GC	Tm
0	1	16	scaf_scafEND5_0	scaf_stapDX_5	rPB66v2	16																			0.6875	67.16407560001625
1	17	38	scaf_stapDX_3	scaf_stapDX_5	rPB66v2	22				0.0026062002646857923	0.004475472671993943	0.004475472671993943					0.008108747727188547	0.008108747727188547				0.0026062002646857923	0.002470154000549886	0.002470154000549886	0.5	58.778354567185545
2	39	47	scaf_stapDX_3	scaf_vertex_5	rPB66v2	9		0.006940424617913251	0.006359695211108265		0.008377070922151973	0.008780489542066209					0.009777163379520917	0.009777163379520917		0.006940424617913251	0.006359695211108265		0.006643717724708117	0.006359695211108263	0.5555555555555556	21.42718896001014
3	48	60	scaf_vertex_3	scaf_stapSXEND5_0	rPB66v2	13		0.03511288291389173			0.008349364925608633	0.005172681776913603		0.03511288291389173			0.010662993027099615	0.005876049473092449					0.004008449320141737	0.004008449320141737	0.5384615384615384	44.02470644636918
4	61	68	scaf_stapSX_3	scaf_stapEND5_0	rPB66v2	8		0.02242182075542179	0.037846560365437154	0.030707837901297812	0.029329299895007505	0.03136601900366107			0.037846560365437154		0.03158853284325658	0.03158853284325658		0.02242182075542179		0.030707837901297812	0.026239772049494767	0.03070783790129781	0.375	6.21819030341959
5	69	75	scaf_stapEND3_0	scaf_scafDX_5	rPB66v2	7		0.1141912311624829		0.08786011001003244	0.09005289779005976	0.07997056437575982		0.1141912311624829		0.08786011001003244	0.09005289779005976	0.07997056437575982							0.14285714285714285	-15.926569858514313
6	76	94	scaf_scafDX_3	scaf_stapSX_5	rPB66v2	19	0.008186868222762978		0.0033002427264771173		0.005723841628150014	0.005438552131358597					0.011973727389099314	0.011973727389099314	0.008186868222762978		0.0033002427264771173		0.003675890403677138	0.003009010776166927	0.631578947368421	60.90330501253834
7	95	103	scaf_stapSXEND3_0	scaf_vertex_5	rPB66v2	9			0.008144375827143101	0.020353857501921105	0.00508601416584171	0.005086014165841715			0.008144375827143101	0.020353857501921105	0.012807279960379756	0.012807279960379756					0.0014845851610424867	0.0014845851610424867	0.5555555555555556	22.94327001801463
8	104	116	scaf_vertex_3	scaf_stapDX_5	rPB66v2	13		0.0020679632535006826		0.01145878268549351	0.006443980264926811	0.008561641678209437				0.01145878268549351	0.01720587008361001	0.01720587008361001		0.0020679632535006826			0.003348157735657541	0.004260273259640549	0.46153846153846156	39.536649608638356
9	117	138	scaf_stapDX_3	scaf_stapDX_5	rPB66v2	22	0.011019694597421447	0.01531142655502903	0.0026203643965590846		0.0066038758354423285	0.005899745547524496	0.011019694597421447	0.01531142655502903			0.011978063256229573	0.011703822960887287			0.0026203643965590846		0.0022612107089053386	0.0022612107089053386	0.2727272727272727	48.99752515001103
10	139	160	scaf_stapDX_3	scaf_stapSX_5	rPB66v2	22					0.007916988479693963	0.00791698847969397					0.012209938751591326	0.012209938751591326					0.0038456600640354313	0.0038456600640354313	0.6363636363636364	64.57635058431373
11	161	169	scaf_stapSXEND3_0	scaf_vertex_5	rPB66v2	9	0.023370817590932378	0.004334224353227459	0.015098964576929642	0.00953246075072575	0.009167038695103158	0.008830872848766365	0.023370817590932378		0.015098964576929642	0.00953246075072575	0.014342664819847924	0.012694594567806113		0.004334224353227459			0.0029938297705284036	0.0020679632535006817	0.3333333333333333	6.065533234312113
12	170	182	scaf_vertex_3	scaf_stapDX_5	rPB66v2	13	0.07613220881894638	0.004631671122566598		0.005524011430584016	0.005968879560289289	0.004302051447221129	0.07613220881894638				0.013967951421573132	0.007936959140469097		0.004631671122566598		0.005524011430584016	0.0030234368060953467	0.0027176385290295832	0.46153846153846156	44.89257857283843
13	183	193	scaf_stapDX_3	scaf_stapSXEND5_0	rPB66v2	11		0.020226380315061472	0.010963038069928278	0.009900728179431351	0.0099992840305732	0.008891547659499188		0.020226380315061472	0.010963038069928278	0.009900728179431351	0.0099992840305732	0.008891547659499188							0.36363636363636365	17.273876615161043
14	194	201	scaf_stapSX_3	scaf_stapEND5_0	rPB66v2	8	0.03478710788080601			0.010665591300589139	0.013365597296695605	0.011038304781456893	0.03478710788080601				0.018936070351112815	0.013970939938412077				0.010665591300589139	0.009433804785528738	0.009433804785528738	0.5	15.000046744324834
